type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links,is_inverse_of,is_disjoint_with
# prefix,cx,,,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,,,
# title,common ontology,,,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,,,
# contributor,,,,,,,,,,,,,,
# description,"The Catena-X common ontology contains all domain-independent classes, attributes and relations.",,,,,,,,,,,,,
# import,,,,,,,,,,,,,,
si derived unit,volt,,,,,,,,"electrical potential difference (voltage), emf",V,,,,
si derived unit,farad,,,,,,,,capacitance,F,,,,
si derived unit,ohm,,,,,,,,"resistance, impedance, reactance",Ω,,,,
si derived unit,siemens,,,,,,,,electrical conductance,S,,,,
si derived unit,weber,,,,,,,,magnetic flux,Wb,,,,
si derived unit,tesla,,,,,,,,magnetic flux density,T,,,,
si derived unit,henry,,,,,,,,inductance,H,,,,
si derived unit,degree Celsius,,,,,,,,temperature relative to 273.15 K,°C,,,,
si derived unit,lumen,,,,,,,,luminous flux,lm,,,,
si derived unit,lux,,,,,,,,illuminance,lx,,,,
si derived unit,becquerel,,,,,,,,activity referred to a radionuclide (decays per unit time),Bq,,,,
si derived unit,gray,,,,,,,,absorbed dose (of ionising radiation),Gy,,,,
si derived unit,sievert,,,,,,,,equivalent dose (of ionising radiation),Sv,,,,
si derived unit,katal,,,,,,,,catalytic activity,kat,,,,
transitive relation,is part of,,,,,ist Teil von,component-object relation,"engine-car, finger-hand","part whole relation, meronomy","is part of, composing of, built in, assembled in, fragment of, division of, component-integral relation","verbaut in, montiert in","https://www.wikidata.org/wiki/Property:P361, https://schema.org/isPartOf",has part,
transitive relation,has part,,,,,besteht aus,object-component relation,"bike-pedal, house-door","part whole relation, meronomy","consists of, formed from, assembled from",,"https://www.wikidata.org/wiki/Property:P527, https://schema.org/hasPart",is part of,
transitive relation,is member of,,,organisation,,ist Mitglied von,"member-collection relation, spatial or social","vehicle-fleet, tree-forest","part whole relation, meronomy","is member of, membership","ist Mitglied von, war Mitglied von","https://www.wikidata.org/wiki/Property:P463, https://schema.org/memberOf",has member,
transitive relation,has member,,organisation,,,hat Mitglied,,,"part whole relation, meronomy",,,"https://www.wikidata.org/wiki/Q65971553, https://schema.org/member",is member of,
transitive relation,is contained in,,,,,enthalten in,entity located within this entity but not part of it,,"part whole relation, meronomy",contained within,,"https://www.wikidata.org/wiki/Property:P4330, https://schema.org/containedInPlace",contains,
transitive relation,contains,,,,,enthält,,,"part whole relation, meronomy",,,"https://www.wikidata.org/wiki/Property:P4330, https://schema.org/containsPlace",is contained in,
transitive relation,is portion of,,material thing,material thing,,Portion von,portion-mass relation,"slice-cake, cm-meter","part whole relation, meronomy",some of,,,has portion,
transitive relation,has portion,,material thing,material thing,,hat Portion,mass-portion relation,,"part whole relation, meronomy",,,,is portion of,
transitive relation,is located in,,,,,liegt in,object-location relation (2D),Munich-Germany,"part whole relation, meronomy",,ansässig in,"https://www.wikidata.org/wiki/Property:P706, https://schema.org/location",,
transitive relation,participates in,,,"action, process",,nimmt teil in,object-process relation,,"part whole relation, meronomy",,,https://schema.org/participant,,
transitive relation,is involved in,,"action, process","action, process",,beteiligt in,process-process relation,paying-shopping,"part whole relation, meronomy",feature-activity,,,,
transitive relation,is made of,,,material thing,,gemacht aus,object-substance relation,car made of steel,"part whole relation, meronomy","made from, is partly, stuff-object",ist aus,"https://www.wikidata.org/wiki/Property:P186, https://schema.org/material",,
class,skill,immaterial thing,,,,,,,,,,,,
class,language,skill,,,,,,,,,,,,
class,country,place,,,,,,,,,,,,
class,regulation,immaterial thing,,,,Vorschrift,,,,"Gesetz, Vorordnung",,https://en.wikipedia.org/wiki/Regulation_(European_Union),,
file format,Automation Markup Language,,,,AutomationML,AutomationML,,,,,,https://en.wikipedia.org/wiki/AutomationML,,
technical standard,ECLASS,,,,ECLASS,ECLASS,,,,,,https://en.wikipedia.org/wiki/ECLASS,,
technical standard,STandard for the Exchange of Product model data,,,,STEP,STEP,,,,ISO 10303,,https://en.wikipedia.org/wiki/ISO_10303,,
technical standard,OPC Unified Architecture,,,,OPC UA,OPC UA,,,,OPC Unified Architecture (OPC UA),,https://de.wikipedia.org/wiki/OPC_Unified_Architecture,,
specification,Asset Administration Shell,,,,,Verwaltungsschale,The AAS is the digital representation of an asset (real or virtual).,,"Asset Administration Shell (AAS), digital twin",Verwaltungsschale (VWS),,https://www.plattform-i40.de/IP/Redaktion/DE/Downloads/Publikation/Details_of_the_Asset_Administration_Shell_Part1_V3.html,,
concept,digital twin,,,,,Digitaler Zwilling,A digital twin is a digital representation of an objects (real or virtual) from the real world. Are intended for data exchange.,,,,,https://en.wikipedia.org/wiki/Digital_twin,,
