type,identifier,parents,relation_from,relation_to,name_en,name_de,definition_en,example_en,note_en,synonyms_en,synonyms_de,links
# prefix,cx,,,,,,,,,,,
# namespace,https://raw.githubusercontent.com/catenax-ng/product-knowledge/main/ontology/cx_ontology.ttl#,,,,,,,,,,,
# title,vehicle information ontology,,,,,,,,,,,
# version,0.0.1,,,,,,,,,,,
# author,Zazralt Magic,,,,,,,,,,,
# contributor,"Rolf Bosse, Jörg Schulz",,,,,,,,,,,
# description,The vehicle information ontology contains the product master data.,,,,,,,,,,,
# import,common ontology,,,,,,,,,,,
# import,vehicle ontology,,,,,,,,,,,
attribute,gross vehicle mass,,vehicle cargo information,xsd:double,,zulässiges Gesamtgewicht,,1300.0,in kilogramms,"gross vehicle mass (GVM), Gross Vehicle Weight Rating (GVWR)","Zulässige Gesamtmasse, höchstzulässiges Gesamtgewicht",https://en.wikipedia.org/wiki/Vehicle_weight#Gross_vehicle_weight_rating
class,vehicle infotainment information,vehicle information,,,,,,,,,,
attribute,has radio,,vehicle infotainment information,xsd:boolean,,,,yes,,,,
attribute,has navigation,,vehicle infotainment information,xsd:boolean,,,,yes,,,,
class,vehicle communication information,vehicle information,,,,,,,,,,
attribute,has modem,,vehicle communication information,xsd:boolean,,,,,,,,
class,vehicle production information,vehicle information,,,,,,,,,,
attribute,vehicle order date,,vehicle production information,xsd:date,,Bestelldatum,The date the vehicle was ordered by the owner.,,,,,
attribute,vehicle purchase date,,vehicle production information,xsd:date,,Kaufdatum,The date the vehicle was purchased by the owner.,,,,,https://schema.org/purchaseDate
attribute,vehicle production date,,vehicle production information,xsd:date,,Produktionsdatum,The date of production of the vehicle.,,,,,https://schema.org/productionDate
attribute,vehicle production year,,vehicle production information,xsd:integer,,Baujahr,,,,,,
attribute,vehicle assembly plant,,vehicle production information,xsd:string,,Montagewerk,,,,,,
attribute,vehicle assembly country,,vehicle production information,xsd:string,,Montageland,The place where the product was assembled.,,,,,https://schema.org/countryOfAssembly
attribute,vehicle country option,,vehicle production information,xsd:string,,Länderausführung,,"EUR, US, CN",,national-market version,,
attribute,vehicle delivery country,,vehicle production information,xsd:string,,Auslieferland,,,,,,
attribute,vehicle delivery date,,vehicle production information,xsd:date,,Auslieferdatum,,,,,,
class,vehicle pricing information,vehicle information,,,,,,,,,,
attribute,list price,,vehicle production information,xsd:integer,,Listenpreis,,,,manufacturer's suggested retail price (MSRP),"unverbindlicher Verkaufspreis (UVP), unverbindliche Preisempfehlung (UPE)",https://de.wikipedia.org/wiki/Unverbindliche_Preisempfehlung
attribute,purchase price,,vehicle production information,xsd:integer,,Kaufpreis,,,,,,
attribute,delivery price,,vehicle production information,xsd:integer,,Lieferpreis,,,,,,
class,vehicle warranty information,vehicle information,,,,,,,,,,
attribute,warranty max duration,,vehicle warranty information,xsd:integer,,,,48.0,in months,,,
attribute,warranty max mileage,,vehicle warranty information,xsd:integer,,,,50000.0,in kilometers,,,
class,vehicle registration information,vehicle information,,,,,,,EU directive 1999/37/EC,,,"https://en.wikipedia.org/wiki/Vehicle_register, https://en.wikipedia.org/wiki/Vehicle_registration_certificate, https://en.wikipedia.org/wiki/Motor_vehicle_registration"
attribute,vehicle registration owner,,vehicle registration information,xsd:string,,,Full name of owner.,,,,,https://en.wikipedia.org/wiki/Vehicle_title
attribute,vehicle registration authority,,vehicle registration information,xsd:string,,,,,,,,
attribute,vehicle registration plate,,vehicle registration information,xsd:string,License plate,Kennzeichen,,,,"number plate, license plate, licence plate, vehicle registration number","Nummernschild, Kraftfahrzeugkennzeichen, Kfz-Kennzeichen",https://en.wikipedia.org/wiki/Vehicle_registration_plate
attribute,vehicle registration date,,vehicle registration information,xsd:date,,,The date of the first registration of the vehicle with the respective public authorities.,,,,,https://schema.org/dateVehicleFirstRegistered
attribute,vehicle registration location,,vehicle registration information,xsd:string,,,,,,,,
attribute,manufacturer key number,,vehicle registration information,xsd:string,,Herstellerschlüsselnummer,4-digit numeric code to identify the vehicle manufacturer that is given in the vehicle license.,BMW: 0005,,,Herstellerschlüsselnummer (HSN),https://de.wikipedia.org/wiki/Herstellerschl%C3%BCsselnummer
attribute,vehicle type code number,,vehicle registration information,xsd:string,,Typschlüsselnummer,8-digit alphanumeric code to identify the vehicle model that is given in the vehicle license.,,,,Typschlüsselnummer (TSN),https://de.wikipedia.org/wiki/Typschl%C3%BCsselnummer
class,vehicle current state,vehicle information,,,,,,,,,,
attribute,vehicle current mileage,,vehicle current state,xsd:integer,,Kilometerstand,The current mileage of the vehicle in km.,1000.0,in kilometers,,,https://schema.org/mileageFromOdometer
attribute,vehicle current age,,vehicle current state,xsd:integer,,Fahrzeugalter,The current age of the vehicle in years.,3.0,in years,,,
attribute,vehicle current location,,vehicle current state,xsd:string,,Fahrzeugstandort,,,,,,
class,transmission type,vehicle information,,,,,,,,,,
relation,has transmission type,,vehicle,transmission type,,,,,,,,
transmission type,automatic transmission,,,,,Automatikgetrieb,,,,"automatic transmission (AT), auto, automatic",,https://en.wikipedia.org/wiki/Automatic_transmission
transmission type,manual transmission,,,,,,,,,"manual transmission (MT), manual gearbox, standard transmission, stick shift",,https://en.wikipedia.org/wiki/Manual_transmission
transmission type,semi-automatic transmission,,,,,Halbautomatisch,,,,,,https://en.wikipedia.org/wiki/Semi-automatic_transmission
class,steering wheel position,vehicle information,,,,Lenkerausführung,,,,,,https://en.wikipedia.org/wiki/Left-_and_right-hand_traffic
steering wheel position,left hand drive,,,,,Linkslenker,cars for for right-hand traffic,"DE, US",,left hand drive (LHD),Linkslenker (LL),
steering wheel position,right hand drive,,,,,Rechtslenker,cars for for left-hand traffic,"UK, JP",,right hand drive (RHD),Rechtslenker (RL),
class,number of doors,vehicle information,,,,Anzahl der Türen,"Number of doors always including hatch, excluding trunk.",,,,"Türenzahl, Türenanzahl",
number of doors,two doors,,,,,2 Türer,,,,2 doors,,
number of doors,three doors,,,,,3 Türer,,,,3 doors,,
number of doors,four doors,,,,,4 Türer,,,,4 doors,,
number of doors,five doors,,,,,5 Türer,,,,5 doors,,
number of doors,six doors,,,,,6 Türer,,,,6 doors,,
class,engine position,vehicle information,,,,Motoranordnung,,,,location of the engine,,
engine position,front engine,,,,,Frontmotor,,,most common,front-engine design,,https://de.wikipedia.org/wiki/Frontmotor
engine position,mid engine,,,,,Mittelmotor,,,,mid-engine design,,https://en.wikipedia.org/wiki/Mid-engine_design
engine position,rear engine,,,,,Heckmotor,,"Porsche 911, VW Bus T1",,rear-engine design,,https://en.wikipedia.org/wiki/Rear-engine_design
class,engine alignment,vehicle information,,,,,,,,,,
engine alignment,longitudinal engine,,,,,Längsmotor,,,,,,https://en.wikipedia.org/wiki/Longitudinal_engine
engine alignment,transverse engine,,,,,Quermotor,,,,,,https://en.wikipedia.org/wiki/Transverse_engine
class,drive wheel type,vehicle information,,,,Antriebsart,,,,,,https://en.wikipedia.org/wiki/Drive_wheel
drive wheel type,Front-wheel drive,,,,,Frontantrieb,,,,Front-wheel drive (FWD),,https://en.wikipedia.org/wiki/Front-wheel_drive
drive wheel type,Rear-wheel drive,,,,,Hinterradantrieb,,,,Rear-wheel drive (RWD),,https://en.wikipedia.org/wiki/Rear-wheel_drive
